wkt_geom	tid	big_slope	curvature	width_change
Polygon ((192055 442380, 192060 442380, 192060 442375, 192055 442375, 192055 442380))	35239	-0.029133735224604607	-0.00523998262360692	-0.05276447534561157
Polygon ((192055 442385, 192060 442385, 192060 442380, 192055 442380, 192055 442385))	35240	-0.011190724559128284	-0.003691978519782424	-0.06362025439739227
Polygon ((192055 442390, 192060 442390, 192060 442385, 192055 442385, 192055 442390))	35241	0.005493820179253817	0.004335975740104914	-0.07587994635105133
Polygon ((192055 442395, 192060 442395, 192060 442390, 192055 442390, 192055 442395))	35242	0.019344473257660866	-0.005359992850571871	-0.032928671687841415
Polygon ((192055 442345, 192060 442345, 192060 442340, 192055 442340, 192055 442345))	35243	0.022790390998125076	-0.00226001744158566	-0.007774671074002981
Polygon ((192055 442350, 192060 442350, 192060 442345, 192055 442345, 192055 442350))	35244	0.03137277066707611	-0.0035760116297751665	-0.023015569895505905
Polygon ((192055 442355, 192060 442355, 192060 442350, 192055 442350, 192055 442355))	35245	0.024410460144281387	0.0010320282308384776	-0.04887031391263008
Polygon ((192055 442360, 192060 442360, 192060 442355, 192055 442355, 192055 442360))	35246	0.003239016281440854	0.010143966414034367	-0.03354456275701523
Polygon ((192055 442365, 192060 442365, 192060 442360, 192055 442360, 192055 442365))	35247	-0.02056322619318962	-0.017075996845960617	-0.059660911560058594
Polygon ((192060 442375, 192065 442375, 192065 442370, 192060 442370, 192060 442375))	35251	-0.03236014023423195	-0.0029760170727968216	-0.0801256075501442
Polygon ((192060 442380, 192065 442380, 192065 442375, 192060 442375, 192060 442380))	35252	-0.01746748946607113	-0.007383957039564848	-0.07098612189292908
Polygon ((192060 442385, 192065 442385, 192065 442380, 192060 442380, 192060 442385))	35253	-0.0017375678289681673	0.006427955813705921	-0.041141327470541
Polygon ((192060 442390, 192065 442390, 192065 442385, 192060 442385, 192060 442390))	35254	0.015929346904158592	-0.009083938784897327	-0.03641536831855774
Polygon ((192060 442395, 192065 442395, 192065 442390, 192060 442390, 192060 442395))	35255	0.015954168513417244	0	-0.029485369101166725
Polygon ((192040 442365, 192045 442365, 192045 442360, 192040 442360, 192040 442365))	35256	0.01655174419283867	0.004623966291546822	-0.1030629500746727
Polygon ((192040 442370, 192045 442370, 192045 442365, 192040 442365, 192040 442370))	35257	-0.012076586484909058	-0.0081079863011837	-0.09870069473981857
Polygon ((192040 442385, 192045 442385, 192045 442380, 192040 442380, 192040 442385))	35260	-0.03840132802724838	-0.0015319442609325051	-0.09379100054502487
Polygon ((192040 442390, 192045 442390, 192045 442385, 192040 442385, 192040 442390))	35261	-0.023973161354660988	-0.00942804291844368	-0.061776116490364075
Polygon ((192040 442395, 192045 442395, 192045 442390, 192040 442390, 192040 442395))	35262	-3.502628896967508e-05	9.603500075172633e-05	-0.05882308632135391
Polygon ((192040 442400, 192045 442400, 192045 442395, 192040 442395, 192040 442400))	35263	0.020031163468956947	-0.002888050163164735	-0.028117092326283455
Polygon ((192045 442395, 192050 442395, 192050 442390, 192045 442390, 192045 442395))	35264	0.009216627106070518	0.00020801543723791838	-0.0423545315861702
Polygon ((192045 442400, 192050 442400, 192050 442395, 192045 442395, 192045 442400))	35265	0.021615445613861084	-0.005623970180749893	-0.05177781730890274
Polygon ((192040 442350, 192045 442350, 192045 442345, 192040 442345, 192040 442350))	35266	0.03191639110445976	0	-0.010617292486131191
Polygon ((192040 442355, 192045 442355, 192045 442350, 192040 442350, 192040 442355))	35267	0.04237871617078781	-0.007468032650649548	-0.031266964972019196
Polygon ((192040 442360, 192045 442360, 192045 442355, 192040 442355, 192040 442360))	35268	0.03875285014510155	-0.0007120132213458419	-0.07158074527978897
Polygon ((192045 442355, 192050 442355, 192050 442350, 192045 442350, 192045 442355))	35269	0.0427718311548233	-0.0016880226321518421	0.0034777370747178793
Polygon ((192045 442360, 192050 442360, 192050 442355, 192045 442355, 192045 442360))	35270	0.029035784304142	0.0009280395461246371	-0.035288695245981216
Polygon ((192045 442365, 192050 442365, 192050 442360, 192045 442360, 192045 442365))	35271	0.0009728746372275054	0.008367996662855148	-0.0687769278883934
Polygon ((192045 442370, 192050 442370, 192050 442365, 192045 442365, 192045 442370))	35272	-0.024374229833483696	-0.009443989023566246	-0.08672542124986649
Polygon ((192045 442380, 192050 442380, 192050 442375, 192045 442375, 192045 442380))	35274	-0.03795982524752617	0.002735996153205633	-0.10483299195766449
Polygon ((192045 442385, 192050 442385, 192050 442380, 192045 442380, 192045 442385))	35275	-0.030510710552334785	-0.0075280191376805305	-0.09411072731018066
Polygon ((192045 442390, 192050 442390, 192050 442385, 192045 442385, 192045 442390))	35276	-0.014239807613193989	0.004316005855798721	-0.07258295267820358
Polygon ((192050 442385, 192055 442385, 192055 442380, 192050 442380, 192050 442385))	35277	-0.020117754116654396	-0.0069839670322835445	-0.08040190488100052
Polygon ((192050 442390, 192055 442390, 192055 442385, 192050 442385, 192050 442390))	35278	-0.002814039820805192	0.0059839822351932526	-0.05569383129477501
Polygon ((192050 442395, 192055 442395, 192055 442390, 192050 442390, 192050 442395))	35279	0.019915292039513588	-0.011700020171701908	-0.05489074066281319
Polygon ((192050 442400, 192055 442400, 192055 442395, 192050 442395, 192050 442400))	35280	0.018761230632662773	0	-0.05201353505253792
Polygon ((192045 442350, 192050 442350, 192050 442345, 192045 442345, 192045 442350))	35281	0.03448022902011871	-0.0003720092645380646	-0.006295809522271156
Polygon ((192030 442390, 192035 442390, 192035 442385, 192030 442385, 192030 442390))	35283	-0.03788996487855911	0.0004680061247199774	-0.008506436832249165
