tid,slope,roughness,bed_level_x,aspect,bed_level_y,change,change_norm,predicted_target_norm,predicted_target
36558,1.9342,0.0021,6.9623,246.537,6.9512,-0.011099999999999888,-0.39074957574229596,-0.024264187,0.019068314
36559,2.1866,0.0025,7.0648,235.109,7.0099,-0.05489999999999995,-0.9228330045463404,-0.09427573,0.01330511
36560,4.118,0.0058,7.1681,222.182,7.1256,-0.04249999999999954,-0.7721975132867431,-0.2682746,-0.0010181163
36561,4.1595,0.006,7.4718,40.4489,7.4453,-0.026500000000000412,-0.577829137467925,-0.19836162,0.0047369767
36562,9.1866,0.0095,6.9485,48.2078,6.9822,0.03369999999999962,0.15348187655041856,-0.47587335,-0.018107211
36563,4.0065,0.0039,6.7147,9.1305,6.7764,0.06170000000000009,0.4936265342333746,-0.03173639,0.018453218
36564,0.7479,0.0011,6.7682,253.529,6.8256,0.05739999999999945,0.44139003323205667,0.19044255,0.036742527
36565,0.8648,0.0007,6.7606,272.632,6.8109,0.05030000000000001,0.35513906646245813,0.2382232,0.04067573
36566,1.2161,0.0008,6.7626,280.422,6.7954,0.03279999999999994,0.14254865541061335,0.21161017,0.038485
36567,0.9151,0.0009,6.7522,259.78,6.7987,0.046499999999999986,0.308976577205486,0.2060519,0.038027454
36568,1.7275,0.0013,6.7793,240.819,6.7917,0.012399999999999523,-0.10527102375839842,0.09193313,0.028633436
36570,1.826,0.0016,7.7755,13.5192,7.7244,-0.05109999999999992,-0.8766705152893682,0.16169734,0.034376282
36571,2.4758,0.0027,7.6639,33.3936,7.6248,-0.03910000000000036,-0.730894233425252,0.021795616,0.022859862
36572,0.9945,0.0013,6.7666,234.305,6.8238,0.05719999999999992,0.43896042853432693,0.14079872,0.03265595
36573,2.1436,0.0018,6.8352,242.261,6.8316,-0.0036000000000004917,-0.29963939957722735,0.0044393092,0.021431126
36574,1.8379,0.0016,6.8344,296.105,6.8323,-0.0020999999999995467,-0.28141736434420067,0.09647244,0.029007103
36575,2.7891,0.0021,6.7867,281.423,6.8037,0.017000000000000348,-0.049390115710475115,-0.001091972,0.020975802
36576,2.9667,0.0024,6.8075,253.608,6.7945,-0.0129999999999999,-0.413830820370782,-0.048803136,0.01704832
36577,4.724,0.0043,6.8671,227.382,6.8624,-0.004699999999999704,-0.31300222541476225,-0.18222727,0.006065122
36578,7.5864,0.0088,7.124,231.354,7.1256,0.001600000000000712,-0.23646967743609337,-0.48571676,-0.0189175
36579,1.6403,0.0013,7.8165,9.4007,7.689,-0.1274999999999995,-1.8047795098242707,0.22854899,0.03987937
36580,2.4713,0.0027,7.7514,26.6382,7.6307,-0.12070000000000025,-1.7221729501012775,0.015554085,0.022346072
36581,5.2512,0.0071,7.5153,38.1385,7.4681,-0.04720000000000013,-0.8292932236835313,-0.28899533,-0.0027238019
36582,10.938,0.0113,6.9765,41.9739,6.9999,0.02340000000000053,0.028357234617058618,-0.64499927,-0.032029305
36583,4.3638,0.006,6.5088,48.7701,6.665,0.15620000000000012,1.6416147539133321,-0.12855025,0.010483703
36584,3.5823,0.0034,6.6311,188.114,6.7455,0.11439999999999984,1.1338273720866388,-0.1119044,0.011853955
36585,1.0989,0.0011,6.7748,181.762,6.8232,0.0484,0.3320578218339721,0.21394043,0.038676824
